,0,1
253,Gaara,I shall kill you. I will not cease to exist.
254,Gaara,"*to Sasuke* You have the same eyes as I do...the eyes, filled with hatred and death, that long for strength... Just like mine. Your eyes tell me how badly you wish to kill the one who put you through the hell called loneliness."
255,Gaara,"I am a relic they want to get rid of, so why do I exist and live? In order to exist you need a purpose, to exist for no reason is the same as being dead... I would love only myself and fight for only myself. If all other people exist to magnify that love, then there is no more a splendid universe than this one..."
256,Gaara,"The corpse's bitter crimson tears flow and mingle with the endless sand, filling the chaos within me - and making me stronger."
257,Gaara,"I finally understand... I'm alone. I won't believe in anyone, or love anyone. I'm alone."
258,Gaara,What does pain feel like?
259,Anko Mitarashi,"I wasn't cast aside. It was my choice, and mine alone."
260,Anko Mitarashi,"*to Orochimaru* But why? How could you do this!? I don't get it, I've looked up to you more than anyone in the world!"
261,Anko Mitarashi,"*about Sasuke* I don't care what the heck he is! If he stays, he's a danger to everyone! Don't you see!? As he gets stronger, so does the Curse Mark! That thing is feeding off his chakra! It's a Forbidden Jutsu that devours the one who bears it! It's incredible the kid's still standing. By now, he...should be dead."
262,Anko Mitarashi,*to Naruto* Tough guys like you usually leave their blood all over this forest.
263,Might Guy,He was a worthy opponent! A man who lived and died like a real shinobi! Kisame Hoshigaki! I'll remember that name for the rest of my life!
264,Might Guy,*to Kisame* A failure will win even at the cost of their own life!
265,Might Guy,"That's it, Lee! Let the power of youth explode!!"
266,Might Guy,"When a man struts around like a peacock, acting like Mr. Big Stuff, he should keep his promises. Even if it kills him."
267,Might Guy,Gahh! Kakashi! You make me so mad! Why do you have to act so cool?!
268,Might Guy,"You have the gift of perseverance, and that's what makes you a genius too!"
269,Might Guy,Don't let anything stir you up the path you have drawn for yourself! Forge ahead in the end! Stick to it Lee! Make me proud! Be everything you can be!
270,Might Guy,"You worked hard Lee, there's no doubt in my mind the surgery will be a success. You have the power to shape your own destiny. And on the one-in-one thousand, no, one in a million chance something to happen to go wrong, I will die right along with you. Since the day I met you, my nindō has been to train you to become the most splendid ninja possible. That's a promise!"
271,Might Guy,"*to Neji* I was a failure when I was your age, but now I can even beat Kakashi, the elite genius. It's only a matter of time until Lee finally surpasses you!"
272,Might Guy,People call me the Leaf's Noble Gentleman!
273,Might Guy,"That's it, Lee! Run...run towards the setting sun!... But don't mess up your hair!"
274,Might Guy,Look deep into my eyes and accept my sincere apology! Also notice my handsome manly features.
275,Might Guy,*to Kakashi* What is with your attitude?! We'll never be young like this again!
276,Shino Aburame,I kind of hate him.
277,Shino Aburame,"If you fight me, you won't be able to recover. Forfeit and withdraw."
278,Shino Aburame,"Never underestimate your opponent, no matter how small they may seem."
279,Shino Aburame,"Even if it's been a while, you should remember your comrades faces. Why? Because otherwise you will hurt their feelings when they call out to you."
280,Shino Aburame,I hate explaining the same thing twice.
281,Kiba Inuzuka,If I kick enough asses I might even end up Hokage!
282,Kiba Inuzuka,Let's die together.
283,Kiba Inuzuka,"*to Naruto* You? Hokage? You can't even beat me! No-one's deluded enough to think that you have what it takes to become the next Hokage, not even you! Tell you what, though... I'll become Hokage in your place!"
284,Kiba Inuzuka,Don't think you can run away from my nose.
285,Kiba Inuzuka,"Heh, I don't know what's going on, but I'm always up for getting wild."
286,Kiba Inuzuka,"Yahoo! Akamaru, let's do this!"
287,Chouji Akimichi,I'm gonna eat until I can eat no more!
288,Chouji Akimichi,I can't forgive you for calling me fat! But even more than that... Not just for stealing the last chip... or calling me fat... most importantly I won't forgive anyone who insults my best friend!
289,Chouji Akimichi,Fat!? I'm big boned!
290,Chouji Akimichi,*to Shikamaru* I won't let even YOU eat the last barbecue chip!
291,Nara Shikamaru,"My master entrusted me with a lot, from big things to little things. It's the same for you an unlimited number of things, don't you think it's about time for us, to be the ones who entrust not the entrusted, it's a pain in the ass but I can't say that. Someday you'll be the one to treat others to ramen and you'll be called Master Naruto... We can't stay kids forever, like Asuma and Jiraiya, I wanna be as cool as them."
292,Nara Shikamaru,*about Temari* Subtle as a rhino... she might even be scarier than my mom.
293,Nara Shikamaru,"*about women, to his father* If women made you a better person, I wouldn't want to know what you were like before."
294,Nara Shikamaru,*about girls* C'mon. You know what they're like. You can never figure them out. You never know where you could stand with them. The smallest things could put you in their bad side. Always playing little mind games with you. Trying to make you do what they want. They're just a big pain basically.
295,Nara Shikamaru,"When you have that kid, I'll have to protect it. So I've gotta grow up to be a cool adult too!"
296,Nara Shikamaru,We're not stupid enough to go out there planning to die.
297,Nara Shikamaru,*to Hidan* That pathetic Lord Jashin or whatever isn't your God anymore. I am. The only one bringing down vengeance is me.
298,Nara Shikamaru,"*to Hidan* See, you and I have different beliefs. I believe in the Will of Fire."
299,Nara Shikamaru,Ughh. Great. What's the point in setting the alarm if I'm going to wake up before it goes off? What a total waste. Now I've gotta shut it off but I don't feel like moving. But if I don't shut it off it will just keep ringing and ringing. Sigh. It makes me tired just thinking about the whole thing. Some mornings are such a drag...
300,Nara Shikamaru,How many times do I have to tell you? The first move is always a feint.
301,Nara Shikamaru,"I never really liked Sasuke, but all the same, he's a member of the Hidden Leaf village, he's a comrade and I'll put my life on the line to help him, that's the way of our village. I know I usually seem like a pretty lazy guy, but not today. Because now, I'm responsible for your lives too."
302,Nara Shikamaru,"Sometimes I wish I was just a cloud, floating along."
303,Nara Shikamaru,"*about Ino* What a drag... I say a single thing against Sasuke, and I have to get that evil look from her eyes."
304,Ino Yamanaka,"Who're you calling ""pig"", you billboard brow?!"
305,Ino Yamanaka,*to Sakura* You bloomed into a beautiful flower.
306,Ino Yamanaka,*talking about Naruto* I could almost fall for him.
307,Rock Lee,"Wise words, Guy sensei! So simple but filled with such profound meaning!"
308,Rock Lee,The lotus of the Leaf Village blooms twice.
309,Rock Lee,I want to show I can be a splendid ninja as well even if I don't have ninjutsu or genjutsu... I want to prove it to the whole world!
310,Rock Lee,"Sakura, please go out with me! I'll protect you with my life!"
311,Rock Lee,"A rock thrown at a pole will not hit, but if one does not aim at the pole, it will hit! That is the law I used!"
312,Tenten,Amazing... The brilliance of the blade... the design. They're all beautiful! I want to take them all home!
313,Tenten,"Three members of Team Guy specializes in Close-Contact battles so I often render aid from the distance. I don't mind providing back up, but I was hoping to find new ninja tools that would enable me to fight on the front lines."
314,Tenten,You're gonna fight Sasuke alone? And you think all of us are just gonna stand here and let you?!
315,Tenten,Let's just say I don't like being kept in the dark!
316,Tenten,I'm not running away and I'm not giving up. I will save this child.
317,Tenten,"I won't let that happen. You're not getting off that easy. No way! The people you and Raiga killed, they all wanted to live but you didn't leave them that choice! You decided for them! Well you don't get to decide this time, ok?! You're gonna live and you're going to take some responsibility for all those people's lives you cut short!"
318,Tenten,I can't stand weak and indecisive people!
319,Tenten,"It's not because they're girls you know, Neji. It's just that those two are using kid gloves. It doesn't matter if you're a man or woman in battle."
320,Hiruzen Sarutobi,"*last words* When the tree leaves dance, one shall find flames. The fire's shadow will illuminate the village, and once again, tree leaves shall bud anew."
321,Hiruzen Sarutobi,"It is a place where every year shinobi are born, raised, grow old, fight, and die to protect their home. These people are precious to me. We share a home, we share a life, and though we may not share ties of blood, they are precious to me. They are my family. And if I do fall, you still will fail. I am only one of a long line. I carry this title in trust for those Hokage who came before and those who will come after. I am the Third Hokage!"
322,Hiruzen Sarutobi,"I wonder...do you have it, young as you are... the Will of Fire?"
323,Hiruzen Sarutobi,"He has combined Shadow Clone with his own invention, the Sexy Jutsu. What a foolish ninja technique...and he could probably get me with it, too."
324,Tsunade,"I am the Fifth Hokage... You've trampled on our ancestors treasure...their dream...and you will pay the price! As the Hokage, I will put a stop to you here and now!"
325,Tsunade,"*talking to the advisers* People like Jiraiya...and Sarutobi, and Elder Chiyo of the Sand possessed something you two sorely lack. Do you know what that is!? ...Faith! My grandfather, the First Hokage, believed in you and entrusted you with the village. Now it's your turn to believe in these children and entrust it to them!"
326,Tsunade,"Grow up... Death comes with being a shinobi. There are times when death is hard to accept, but if you don't get over it, there's no future..."
327,Tsunade,"*to Orochimaru about Naruto* ""I will die before I let you touch him!"
328,Tsunade,Why am I putting my life on the line? Because now... I am the Fifth Hokage of the Village Hidden in the Leaves!
329,Tsunade,"Jiraiya, are you the one who taught him the Rasengan? Are you acting like a teacher by teaching him something he can't master? Don't give him any ideas! That's why this kid likes to daydream that he's going to become Hokage someday."
330,Tsunade,*about to fight Naruto* One of the Legendary Sannin taking on a snot-nosed Genin... I oughta be ashamed of myself.
331,Kisame Hoshigaki,*last words* Itachi-san... It seems that in the end... I'm not so terrible after all.
332,Kisame Hoshigaki,"I get stronger in direct proportion to how strong my opponent is. I do not tire, and cannot be defeated."
333,Kisame Hoshigaki,"*to Asuma* My massive blade, Samehada, doesn't slice... It shreds to ribbons!"
334,Kisame Hoshigaki,"Sharks start out as eggs, but incubate and hatch in the womb. Sometimes the number of pups is less than the number of eggs that were fertilized. Do you know why? Cannibalism. The pups start eating each other within the mother's womb the moment they hatch. They start killing their siblings the moment they enter the world, viewing everything they see as nothing more than prey. As of today you and I are fellow members of Akatsuki. So be careful... of me."
335,Kisame Hoshigaki,I knew that from the first time I had to kill my comrades... Kill a Kiri ninja as a Kiri ninja. What does that make me? Am I a friend or foe? What is my purpose and my position? Where do I go? Where can I go? I'm well aware that my entire life has been a one giant lie.
336,Zabuza Momochi,*to Kakashi* I died as a human!
337,Zabuza Momochi,"*last words* You were always at my side, the least I can do is to be beside you at the end. I know it cannot be, but I wish I could go to where you have gone. How I wish I could join you there, Haku."
338,Zabuza Momochi,Even the unremarkable Demon of the Hidden Mist can die and become a real Demon in hell!
339,Zabuza Momochi,"Uh uh...I won't be joining Haku. Where he's gone I cannot follow. We wouldn't be welcome where Haku's gone to. Hell's where WE'RE going, Gatō!"
340,Zabuza Momochi,"Well? Cat got your tongue? Are you so surprised to discover that I'm human? Even shinobi are human. No matter how hard we try, we always fail to escape that simple fact. Well at least, I have failed."
341,Zabuza Momochi,"*to Naruto* Your words cut deep, deeper than any blade."
342,Zabuza Momochi,"When you've hovered between life and death so many times that it doesn't faze you, you may be called a ninja. When you've become so deadly that your profile has been entered into my bingo book, then you may have earned the title ninja."
343,Zabuza Momochi,"You're right. Those little people and their little dreams, why should I care about them?! I have my own dream!"
344,Zabuza Momochi,"When I was your age, my hands were already soaked in blood..."
345,Hinata Hyuuga,I used to always cry and give up... I made many wrong turns... But you... You helped me find the right path... I always chased after you... I wanted to catch up to you... I wanted to walk beside you all the time... I just wanted to be with you... You changed me! Your smile is what saved me! That is why I'm not afraid to die protecting you! Because... I love you...
346,Hinata Hyuuga,I won't let you lay another finger on Naruto!
347,Hinata Hyuuga,*to Naruto* You make mistakes... but... because of those mistakes... you get the strength to stand up to them. That's why I think you are truly strong.
348,Hinata Hyuuga,"*to Naruto* When I watch you, I feel strong, like I can do anything - that even I am worth something."
349,Hinata Hyuuga,"You're wrong, Neji... Because I can see that you are suffering more than me... You are the one who is confused and suffering inside the fate of the head and branch families."
350,Hinata Hyuuga,"Was I able to change myself...even a little, N-Naruto-kun?"
351,Hinata Hyuuga,"I will never go back on my word, because that too is my ninja way!"
352,Haku,"By the way, I'm a boy."
353,Naruto Uzumaki,My name is Uzumaki Naruto. I like ramen. I hate the three minutes you have to wait while the water boils. And my dream is to one day become a Hokage. Then everyone will have to respect me at last.
354,Kankuro,"Sasori...your strength came because of your soul, not in spite of it. You tried to erase it, to become a puppet yourself, but couldn't change completely. Now you've got your immortal body, but you've fallen, sunk to the level of the puppets you used to control. You were supposed to be a top class ninja puppeteer, not a worthless nobody who lets someone else pull the strings."
355,Kankuro,"How well or poorly we execute our ambush will have a huge impact on this war and how many casualties we suffer. If you wanna protect your friends and family, the only thing you should be thinking about is how to make this operation a success!"
356,Kankuro,"*to Naruto* Aww, don't sweat it. Women always go weak in the knees for that cool, elite type of guy. So what can you do, am I right?"
357,Kankuro,I'll show you the real power of the battle puppet Crow.
358,Kankuro,I can't back down when they show me no respect.
359,Kankuro,*thinking about Naruto* This brat...I'm going to kill him.
360,Itachi Uchiha,Growth occurs when one goes beyond one's limits. Realizing that is also part of training.
361,Itachi Uchiha,*last words* Forgive me Sasuke... It ends with this.
362,Itachi Uchiha,*to Kisame* Those who turn their hands against their comrades are sure to die a terrible death. Be prepared.
363,Itachi Uchiha,"The people of this clan are all the same. You focus on the trivial, and lose sight of what's most important. Change is impossible, in this fog of ignorance. How can we evolve when regulation is all we know?"
364,Itachi Uchiha,"I've had enough, there's no hope left for this pathetic clan."
365,Itachi Uchiha,"Don't cry, Sasuke. Your big brother is here to protect you, no matter what happens."
366,Itachi Uchiha,"You and I are flesh and blood. I'm always going to be there for you, even if it's only as an obstacle for you to overcome. Even if you do hate me. That's what big brothers are for."
367,Obito Uchiha,*last words* Just when me and Kakashi were becoming friends... I couldn't bring myself to confess to Rin... I wish I had more time with everyone...
368,Obito Uchiha,*to Kakashi* I'm about to... die... but I'll become your eye.
369,Obito Uchiha,"I believe the ""White Fang"" is a true hero!"
370,Obito Uchiha,*to Kakashi* I am Uchiha Obito and I will surpass you once I awaken my Sharingan!
371,Sasuke Uchiha,I have already awakened.
372,Naruto Uzumaki,"I don't understand what's going on, but I'll just pretend that I do. *nods head in agreement*"
373,Kabuto Yakushi,"*to Naruto* Finding a new me, that is the lesson you taught me."
374,Kabuto Yakushi,"I decided I wished to be like you as well, Naruto-kun, and for that reason...with Orochimaru-sama now intregrated into this body, I plan on finding a new ""me"", one stronger than Orochimaru-sama himself!"
375,Kabuto Yakushi,"Hehehe...you can't beat me. You have no skills, unlike Sasuke."
376,Kabuto Yakushi,Little kids think life is so easy. That's why they go on and on about their dreams. That's why they never give up.
377,Kabuto Yakushi,Oh you look so beautiful... We're not here for a picnic you know.
378,Sasuke Uchiha,"Don't worry, this will be over in five seconds."
379,Naruto Uzumaki,"We're just some normal ninja, we don't want to see what's under your mask."
380,Iruka Umino,"*to Naruto* Lord Jiraiya only had praise for you. He was always boasting about you, saying you were like his own grandchild. He had faith that you were the one who would inherit his will, and truly believed that you would one day be a great Hokage. Lord Jiraiya will always watch over you. Even this very minute, he's watching from somewhere. He wouldn't be happy seeing you sad like this. So...be your usual self, the one he praised so much. Don't stay depressed forever. For Lord Jiraiya himself, one of the Legendary Sannin...acknowledged you as his promising student!"
381,Iruka Umino,"So I acted like an idiot. It was tough, has it been lonely for you Naruto, was it tough Naruto??"
382,Itachi Uchiha,"We are humans, not fish. We don't know what kind of people we truly are until the moment before our deaths. As death comes to embrace you, you will realize what you are. That's what death is, don't you think?"
383,Itachi Uchiha,You are weak. Why are you so weak? Because you lack... hatred.
384,Rock Lee,"If I can't do 400 push-ups, I'll hit the dummy 800 times! If I can't hit the dummy 800 times, I'll do 2000 jump ropes!"
385,Rock Lee,I am the Handsome Devil of the Hidden Leaf Village! My name is Rock Lee!
386,Rock Lee,Guy-sensei is the coolest! He practically GLOWS with cool!
387,Jiraiya,Stop calling me Ero-sennin!!
388,Jiraiya,"Baka, baka, baka!! They found out I was peeking! Now my research is ruined!"
389,Naruto Uzumaki,"The only thing that can keep a fire from dying and give it more power, is wind."
390,Naruto Uzumaki,"If I become as strong as you, will I really become like you? To die as a tool...that's...that's just too sad."
391,Jiraiya,*last words* The Tale of Naruto Uzumaki... yes... that has a nice ring to it.
392,Jiraiya,"There, that ending...was a little better. The frog at the bottom of the well drifts off into the great ocean. Heh heh ...yep. Pretty damn honorable... pretty damn honorable..."
393,Jiraiya,"*to Naruto* I think we all have to acknowledge you. Gamatatsu, Gamakichi, Sakura, Tsunade...and I... We all admit you've worked really hard. But I wonder what's pushing you forward."
394,Jiraiya,"Never go back on your word...and never give up. That's your ninja way...and as your mentor ... I have no business whining! Because the student's ninja way should be the master's too! Isn't that so, Naruto?!"
395,Jiraiya,*to Orochimaru about Sasuke* Because it's no fun to train a genius!
396,Jiraiya,"*to Orochimaru* You're wrong, that's not what makes a shinobi. You never did get it, a real ninja is one who endures no matter what gets thrown at him... Let me explain something to you, there is only one thing that matters if you are a shinobi, and it isn't the number of jutsu you possess. All you do need, is the guts to never give up."
397,Jiraiya,"*to Naruto* Even I can tell that hatred is spreading. I wanted to do something about it...but I don't know what. I believe... that someday the day will come when people truly understand one another!! If I can't find the answer, it will be up to you to do it!!"
398,Jiraiya,"When people get hurt, they learn to hate... When people hurt others, they become hated and racked with guilt. But knowing that pain allows people to be kind. Pain allows people to grow... and how you grow is up to you."
399,Jiraiya,"Wherever someone thinks of you, that's where home is."
400,Jiraiya,I'm not a pervert... I'm a super pervert!
401,Jiraiya,Die! Just Die! You have no talent at all!!
402,Jiraiya,Shut up you flat-chested bitch Tsunade!
403,Neji Hyuuga,You are the strongest enemy I have ever fought.
404,Neji Hyuuga,No one can determine another's destiny.
405,Neji Hyuuga,The heavens will not allow a pawn who can only seek victory at the cost of himself to advance...
406,Neji Hyuuga,*about Gai* He's so childish. He acts like a seven-year-old!
407,Neji Hyuuga,"*about Lee and Gai* As usual, I can't keep up with their craziness."
408,Neji Hyuuga,Because Naruto... you saved me from the darkness.
409,Neji Hyuuga,"All this time I've been called a genius, so I cannot lose."
410,Neji Hyuuga,"Sasuke's out there right now, heading toward Orochimaru. We can't allow such evil to take someone from our village... that is not our way."
411,Neji Hyuuga,"Naruto... Sometimes, your eyes are even better than mine."
412,Neji Hyuuga,"Father, is a person's destiny a thing like a cloud flowing with an inescapable flow? Or can a person choose the flow he wishes... I still don't know the answer to this. Either way the destination may be the same in the end. However by choosing to live like the latter, a person can live and strive towards a goal. And in this match I have finally understood those who have that are truly strong. Father, I have but one goal, I want to become stronger... Enough not to lose to anyone... That's how I feel. Father, the birds are flying freely today... They look so happy."
413,Neji Hyuuga,There's no method but death to escape this horrible curse.
414,Neji Hyuuga,"*to Naruto* These eyes of mine show me many things. One thing they've shown me...people's limitations are set, fixed, and unchangeable. Only a fool wastes his time trying to become something he can never be!"
415,Neji Hyuuga,Do you understand now? You have no way of beating me!
416,Neji Hyuuga,"Once a failure, always a failure. You can't change that."
417,Neji Hyuuga,"Right now, Sasuke is in the darkness. The only one who can save him is you, Naruto."
418,Naruto Uzumaki,Try it trash! I'll return the pain a thousand times over!
419,Jiraiya,"I am, Jiraiya, the epitome of manliness! I shall fall for no woman's wiles! When you're me, you only need to flash that sexiness to have women fall at your feet."
420,Ino Yamanaka,WHAT?! Why wasn't he affected by my sexiness?!
421,Ino Yamanaka,SHIKAMARU! Beat her up with a 16 HIT COMBO!
422,Ino Yamanaka,There's no meaning to a flower unless it blooms.
423,Gaara,A soul needs a purpose to live...and so I concluded that my purpose was to kill everyone besides myself. I felt alive...
424,Gaara,I fight for my sake only and live to love no one but myself.
425,Gaara,"*young Gaara attempts to slash his wrist* It's no use, the sand gets in the way."
426,Madara Uchiha,The concept of hope is nothing more than giving up. A word that holds no true meaning.
427,Madara Uchiha,The Uchiha is a clan destined for revenge...
428,Madara Uchiha,"*to Minato, about his reason for attacking Konoha* Oh, you know...it's fun, it's part of my plan...to start a war...to bring peace..."
429,Madara Uchiha,"It will be a new world... A world of truth, not lies."
430,Madara Uchiha,"When a man learns to love, he must bear the risk of hatred."
431,Hatake Kakashi,"*to Sasuke* No matter how far Orochimaru fell, he still loved him... Now I know how the Third Hokage felt."
432,Hatake Kakashi,"*to Sakumo* Regardless of what happened, you did the best you could. I understand that now...you broke the rules for all our sakes - I'm proud of you now..."
433,Hatake Kakashi,*to Naruto* You've become as strong...if not stronger than me.
434,Hatake Kakashi,Like the fate of the two who founded the village of Konoha... Naruto and Sasuke...your fates are like theirs.
435,Hatake Kakashi,This place makes me think about the mistakes I've made in the past... and I've made a lot.
436,Hatake Kakashi,"*to Orochimaru* I don't care if you are one of the legendary Sannin, the great shinobi of legend, I swear take one more step towards Sasuke and one of us will die here!"
437,Hatake Kakashi,I'm Kakashi Hatake. Things I like and things I hate...I don't feel like telling you that. My dreams for the future...never really thought about it. As for my hobbies...I have lots of hobbies.
438,Rock Lee,"A genius, huh? What does that mean? ""Genius""? So I was not born with a whole lot of natural talent, not gifted like Neji ...but I work hard and I never give up! That is my gift, that is my ninja way!"
439,Orochimaru,*to Sasuke* I refuse...to let this happen! I am Orochimaru! I am immortal! I will not die here! Destined to discover the true meaning behind everything! Destined to take control of everything in this world!!
440,Orochimaru,When there is a true desire in the heart and that desire is strong... That is when he finds real strength that even he did not know he had!
441,Orochimaru,Everything will be mine.
442,Orochimaru,"*about Sasuke* When I watch this boy, I look back to the time I was called a genius, and think how ridiculous it was."
443,Orochimaru,*to Sasuke* How impressive. A thousand foes stand before you and you don't even bat an eyelid.
444,Orochimaru,*talking about Naruto* This child... intrigues me to no end!
445,Orochimaru,Hate only gives birth to even more hate.
446,Orochimaru,"I want to obtain all the jutsu and gain a true understanding of everything in this world. The first one to mix blue and yellow called the new color ""green"". I want to do something similar to that. If blue is the chakra, then yellow is the seal, and green is the jutsu... Just as there is no end to the variety of colors, there are so many thousands...tens of thousands of jutsu in the world as well. But in order to obtain every possible jutsu and truth, it would require an eternity. Only one who understands everything after spending such time on this can be fittingly called the Ultimate Being."
447,Orochimaru,"*to Kabuto, talking about Tsunade) The best medicines always taste bitter."
448,Orochimaru,There probably isn't any meaning in life. Perhaps you can find something interesting to do while you are alive. Like how you found that flower. Like how I found you.
449,Sakura Haruno,"Naruto's here because he's made up his mind. My resolve is nothing compared to his now! I'm supposed to be a ninja, but all I've ever done is lean on him and cry... I was supposed to change that... I came here and I thought I was ready. But I can't do anything... I can't say anything. The only thing that remains for me...is to believe in them!"
450,Sakura Haruno,*about killing Sasuke* I... Sasuke... I... I thought I could do this...
451,Sakura Haruno,I'm the one who made Naruto suffer the most... I've just been getting it wrong. Just been messing it up... I don't want to get it wrong anymore...don't want to screw it up anymore.
452,Sakura Haruno,A smile is the easiest way out of a difficult situation.
453,Sakura Haruno,"*to Sasuke* I... I love you with all my heart!.. If you were to stay here with me, there would be no regrets...because every day we'd do something fun, we'd be happy I swear..! I would do anything for you! So...please, just stay with me!"
454,Sakura Haruno,"I've always considered myself to be a true ninja...but those were just empty words, because Sasuke and Naruto were always in the lead! But now it's my turn to take the lead, and all of you can watch me from the background!"
455,Sakura Haruno,*to Ino* Didn't you know? Women have to be strong in order to survive!
456,Sakura Haruno,"All I've been doing is watching you two from behind... Now, get a good look at MY back!"
457,Sakura Haruno,"*talking to Sasuke* On that day, you taught me that solitude is painful! I understand that so well right now. I have family, and I have friends but if you're gone... To me... It will be the same as being alone."
458,Hatake Kakashi,"In the ninja world, those who break the rules are scum, that's true, but those who abandon their friends are worse than scum."
459,Hatake Kakashi,I won't allow my comrades to die. I'll protect you with my life. Trust me.
460,Hatake Kakashi,The next generation will always surpass the previous one. It's one of the never-ending cycles in life.
461,Hatake Kakashi,"*making excuses for being late, as usual* Hello students, today I got lost on the road of life."
462,Hatake Kakashi,"*making excuses for being late, as usual* A cute girl stopped me on the way, so I danced."
463,Hatake Kakashi,"Naruto, it's nice that you removed the poison so spiritedly, but you'll bleed to death if you lose any more blood... Seriously..."
464,Itachi Uchiha,"People live their lives bound by what they accept as correct and true. That's how they define ""reality"". But what does it mean to be ""correct"" or ""true""? Merely vague concepts... Their ""reality"" may all be a mirage. Can we consider them to simply be living in their own world, shaped by their beliefs?"
465,Itachi Uchiha,"If you want to kill me, despise me, hate me, and live in an unsightly way... Run, and cling to life, and then some day, when you have the same eyes as I do, come before me."
466,Itachi Uchiha,"You aren't even worth killing, foolish little brother."
467,Sasuke Uchiha,"If you think I'm just a foolish kid ruled by his emotions, that's fine. Following Itachi's path would be childish, the whispering of fools who don't know hatred. If anyone else tries to ridicule the way I live, I'll slaughter everyone they ever cared about. And then maybe they'll understand what it's like to taste... a little of my hatred."
468,Sasuke Uchiha,"*Talking to Naruto* Just shut up for once! What the hell do you know about it?! It's not like you ever had a family in the first place! You were on your own right from the beginning, what makes you think you know anything about it?! Huh?! I'm suffering now because I had those ties, how on earth could you possibly understand, what it feels like to lose all that?!"
469,Sasuke Uchiha,"*Introducing himself to Kakashi, Naruto and Sakura* My name is Sasuke Uchiha. I hate a lot of things, and I don't particularly like anything. What I have is not a dream, because I will make it a reality. I'm going to restore my clan, and kill a certain someone."
470,Sasuke Uchiha,I have long since closed my eyes... My only goal is in the darkness.
471,Naruto Uzumaki,The pain of being alone...is not an easy one to bear. Why is it...that I can understand your pain? But...I already have many people who are important to me now...and I can't let you hurt any of them. Even if I have to kill you!
472,Naruto Uzumaki,I won't run away anymore... I won't go back on my word... That is my ninja way!
473,Sasuke Uchiha,"You're such a loser, Naruto."
474,Sasuke Uchiha,"Are you alright, crybaby?"
475,Sasuke Uchiha,"Naruto... I know you're special but, I AM MORE SPECIAL THAN YOU!"
476,Deidara,"Shut up! I killed Sasuke Uchiha! And you're next, you art-hating sack of wrinkles!"
477,Deidara,*Before killing the Suna guards* Look at those fools. They have no appreciation for art. You have to feel art. And true art... is an EXPLOSION!
478,Deidara,Art is a BANG!
479,Hidan,"Kakuzu... Could you get me my body, pleeease?"
480,Sakura Haruno,Inu pig!
481,Nara Shikamaru,Man... What a drag...
482,Hatake Kakashi,"I'm telling you this because you don't get it. You think you get it, which is not the same as actually getting it. Get it?"
483,Nara Shikamaru,How troublesome...
484,Naruto Uzumaki,A true hero always arrives late.
485,Naruto Uzumaki,"If he rips my arms off, I'll kick him to death.
If he rips my legs off, I'll bite him to death!
If he rips my head off, I'll stare him to death!
And if he gouges out my eyes, I'll curse him
from beyond the grave..!"
486,Naruto Uzumaki,I am strong because I have people to protect.
487,Itachi Uchiha,"Foolish brother, if you wish to kill me - hate me, detest me, and survive in an unsightly way. Run... run and cling to life."
488,Obito Uchiha,"In the ninja world, those who don't follow the rules are trash. But, those who abandon their friends are even worse than trash."
489,Naruto Uzumaki,"And my dream is to be the greatest Hokage! That way, people will stop disrespecting me and start treating me like I'm somebody. Someone important!"
490,Haku,When people are protecting something truly precious to them. They truly can become...as strong as they need to be!
491,Gaara,Not enough... blood.
492,Naruto Uzumaki,BELIEVE IT!!
493,Gaara,"I want to be needed, this is what I've learned from meeting and fighting Uzumaki Naruto."
494,Rock Lee,A dropout will beat a genius through hard work.
495,Madara Uchiha,"Love is not necessary, power is the only true necessity."
496,Itachi Uchiha,I actually don't think something like perfection exists. That is I think why we are born able to absorb things... and by comparing ourselves with something else we can finally head in a good direction.
497,Hagoromo Ōtsutsuki,The past does not exist to remind us that the future cannot be changed. It exists to remind us what the future can be.
498,Naruto Uzumaki,"There is no telling what kind of pain will come  after me, but... if I stop believing because of that, if the hero should change, it'll turn into another story from the one my master left behind. Then it wont be Naruto! I can't write novels like my master did. That's why the sequel has to come from the life I live no matter how great the pain, I'll continue walking because that's who Naruto is!"
499,Sai,Even if I force myself to smile. It seems I'm the type of person who ends up being hated.
500,Itachi Uchiha,"In this moment, I am euphoric. Not because of any phony Shinobi's blessing. But because, I'm enlightened by my intelligence."
501,Itachi Uchiha,"Knowledge and awareness are vague, and perhaps better called illusions. Everyone lives within their own subjective interpretation."
502,Pain,Learn to embrace the fear of feeling about what it's like to contemplate what it is to know true pain. Because when I had nothing and no one - I always had Pain.
503,Sasuke Uchiha,"(About Sakura) Was she having fun in her little make-believe fantasy of true love? As for me, I have absolutely no reason to love her and likewise, I can see no reason why she would love me."
504,Madara Uchiha,"The longer you live... The more you realize that reality is just made of pain, suffering and emptiness..."
505,Madara Uchiha,It seems that you still want to dance but... You will not be able to make steps anymore.
506,Madara Uchiha,"I'd be lying if I said things are going according to my plan... but beggars can't be choosers, right?"
507,Madara Uchiha,"[Last words to Hashirama] As comrades, huh... well... if that's how... we... will.... *smiles*"
508,Pain,"Feel pain, think about pain, accept pain, know pain... Shinra Tensei!"
